Neighborhood,Name,Category,Hours,Rating,What to Try,Map Link
Ginza,Center the Bakery,Bakery,09:00-18:00,4.5,Shokupan tasting flight,https://maps.google.com/?q=Center+the+Bakery+Ginza
Ginza,Boul'Ange,Bakery,08:00-21:00,4.2,Pistachio Croissants,https://maps.google.com/?q=Boul+Ange+Ginza
Ginza,The City Bakery,Bakery,07:30-22:00,4.3,Pretzel Croissants,https://maps.google.com/?q=City+Bakery+Ginza
Ginza,Peltier Bakery,Bakery,10:00-20:00,4.2,French-style pastries,https://maps.google.com/?q=Peltier+Ginza
Ginza,Turret Coffee,Coffee,07:00-18:00,4.6,Turret Latte,https://maps.google.com/?q=Turret+Coffee+Ginza
Ginza,Glitch Coffee & Roasters,Coffee,09:00-19:00,4.7,Single origin pour-over,https://maps.google.com/?q=Glitch+Coffee+Ginza
Ginza,Starbucks Reserve Printemps,Coffee,07:30-22:30,4.4,Reserve micro-blends,https://maps.google.com/?q=Starbucks+Reserve+Ginza
Ginza,Lindberg Boutique,Eyewear,11:00-20:00,4.8,Thintanium and n.o.w. collections,https://maps.google.com/?q=Lindberg+Boutique+Ginza
Ginza,999.9 (Four Nines) Spirit,Eyewear,11:00-20:00,4.7,M-140 series; high-function hinges,https://maps.google.com/?q=999.9+Four+Nines+Ginza
Ginza,Matsuda Store (Matsuya),Eyewear,11:00-20:00,4.6,Heritage engraved metal frames,https://maps.google.com/?q=Matsuda+Matsuya+Ginza
Ginza,Lunor Shop,Eyewear,11:00-19:00,4.7,Classic round frames,https://maps.google.com/?q=Lunor+Ginza
Ginza,Masunaga 1905 (Ginza),Eyewear,11:00-20:00,4.8,GMS series,https://maps.google.com/?q=Masunaga+Ginza
Ginza,Oliver Peoples Ginza,Eyewear,11:00-20:00,4.5,Gregory Peck frames,https://maps.google.com/?q=Oliver+Peoples+Ginza
Ginza,Kamuro Eyewear,Eyewear,11:00-20:00,4.4,Artistic colorful frames,https://maps.google.com/?q=Kamuro+Ginza
Ginza,Ginza Six Rooftop,Sight,07:00-23:00,4.6,Sky garden views,https://maps.google.com/?q=Ginza+Six+Garden
Shinjuku,Sawamura Bakery,Bakery,07:00-22:00,4.5,Rustic sourdough,https://maps.google.com/?q=Sawamura+Bakery+Shinjuku
Shinjuku,Map Camera,Camera,11:00-19:00,4.8,Used Leica/Fujifilm,https://maps.google.com/?q=Map+Camera+Shinjuku
Shinjuku,Yodobashi Camera West,Camera,09:30-22:00,4.5,Camera accessories/straps,https://maps.google.com/?q=Yodobashi+Camera+Shinjuku
Shinjuku,Bic Camera Shinjuku,Camera,10:00-21:00,4.4,New lens testing,https://maps.google.com/?q=Bic+Camera+Shinjuku
Shinjuku,Blue Bottle Coffee Shinjuku,Coffee,08:00-21:00,4.3,New Orleans Iced Coffee,https://maps.google.com/?q=Blue+Bottle+Shinjuku
Shinjuku,Verve Coffee Roasters,Coffee,07:00-22:00,4.4,Nitro Flash Brew,https://maps.google.com/?q=Verve+Coffee+Shinjuku
Shinjuku,Shinjuku Gyoen,Sight,09:00-16:00,4.7,Greenhouse/Garden walks,https://maps.google.com/?q=Shinjuku+Gyoen
Nakano,Mame-zono,Bakery,10:00-19:00,4.3,Kintsuba (bean cakes),https://maps.google.com/?q=Mamezono+Nakano
Nakano,Daily Chico,Bakery,10:00-20:00,4.2,8-layer soft serve,https://maps.google.com/?q=Daily+Chico+Nakano
Nakano,Fujiya Camera,Camera,10:00-20:30,4.7,Vintage prime lenses,https://maps.google.com/?q=Fujiya+Camera+Nakano
Nakano,Coffee High Five,Coffee,11:00-19:00,4.4,Dark roast espresso,https://maps.google.com/?q=Coffee+High+Five+Nakano
Nakano,Nakano Broadway,Sight,11:00-20:00,4.5,Vintage watch/toy hunting,https://maps.google.com/?q=Nakano+Broadway
Shibuya,Viron Shibuya,Bakery,09:00-21:00,4.6,Baguette Retro,https://maps.google.com/?q=Viron+Shibuya
Shibuya,Gontran Cherrier,Bakery,07:30-20:00,4.4,Curry bread,https://maps.google.com/?q=Gontran+Cherrier+Shibuya
Shibuya,About Life Coffee Brewers,Coffee,08:00-18:00,4.4,Onibus bean pour-over,https://maps.google.com/?q=About+Life+Coffee+Shibuya
Shibuya,The Roastery by Nozy Coffee,Coffee,10:00-20:00,4.5,Espresso Tonic,https://maps.google.com/?q=The+Roastery+Shibuya
Shibuya,Hario Cafe,Coffee,11:00-20:00,4.5,Hario V60 drip,https://maps.google.com/?q=Hario+Cafe+Shibuya
Shibuya,Streamer Coffee Company,Coffee,08:00-20:00,4.4,Streamer Latte (Latte Art),https://maps.google.com/?q=Streamer+Coffee+Shibuya
Shibuya,Eyevan Luxe Shibuya,Eyewear,11:00-21:00,4.6,Limited luxury collections,https://maps.google.com/?q=Eyevan+Luxe+Shibuya
Shibuya,Jins Shibuya,Eyewear,11:00-21:00,4.2,Design collaborations,https://maps.google.com/?q=Jins+Shibuya
